consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria,consumo_por_equipamento,intensidade_consumo,equipamentos_por_hora,uso_horario_pico_num
182,False,8,Casa,10,Eficiente,22.75,18.2,0.8,0
515,False,7,Apartamento,10,Ineficiente,73.57142857142857,51.5,0.7,0
350,True,12,Casa,7,Ineficiente,29.166666666666668,50.0,1.7142857142857142,1
186,True,11,Apartamento,10,Moderado,16.90909090909091,18.6,1.1,1
151,True,3,Casa,5,Eficiente,50.333333333333336,30.2,0.6,1
100,True,15,Casa,10,Moderado,6.666666666666667,10.0,1.5,1
694,False,5,Apartamento,6,Moderado,138.8,115.66666666666669,0.8333333333333334,0
201,True,5,Casa,1,Eficiente,40.2,201.0,5.0,1
546,True,13,Casa,4,Ineficiente,42.0,136.5,3.25,1
294,True,8,Casa,4,Eficiente,36.75,73.5,2.0,1
410,False,10,Comércio,11,Moderado,41.0,37.27272727272727,0.9090909090909092,0
538,False,5,Apartamento,8,Ineficiente,107.6,67.25,0.625,0
167,True,5,Casa,2,Eficiente,33.4,83.5,2.5,1
452,False,8,Casa,1,Moderado,56.5,452.0,8.0,0
179,True,10,Comércio,7,Moderado,17.9,25.571428571428573,1.4285714285714286,1
210,True,8,Apartamento,6,Eficiente,26.25,35.0,1.3333333333333333,1
388,False,15,Casa,5,Moderado,25.866666666666667,77.6,3.0,0
423,True,14,Apartamento,8,Ineficiente,30.214285714285715,52.875,1.75,1
571,False,16,Apartamento,11,Ineficiente,35.6875,51.90909090909091,1.4545454545454546,0
493,False,12,Apartamento,2,Ineficiente,41.083333333333336,246.5,6.0,0
465,False,5,Apartamento,2,Moderado,93.0,232.5,2.5,0
271,False,6,Casa,9,Eficiente,45.16666666666666,30.11111111111111,0.6666666666666666,0
356,True,3,Casa,1,Moderado,118.66666666666669,356.0,3.0,1
240,False,15,Comércio,6,Eficiente,16.0,40.0,2.5,0
539,True,10,Apartamento,3,Ineficiente,53.9,179.66666666666666,3.333333333333333,1
393,False,6,Casa,5,Eficiente,65.5,78.6,1.2,0
101,False,8,Comércio,8,Eficiente,12.625,12.625,1.0,0
332,False,13,Comércio,7,Ineficiente,25.53846153846154,47.42857142857143,1.8571428571428568,0
640,False,5,Comércio,4,Moderado,128.0,160.0,1.25,0
554,True,13,Comércio,8,Ineficiente,42.61538461538461,69.25,1.625,1
138,False,14,Comércio,11,Moderado,9.857142857142858,12.545454545454543,1.2727272727272727,0
590,False,13,Casa,11,Ineficiente,45.38461538461539,53.63636363636363,1.181818181818182,0
